SKU,Price,Date
3,109.58,19-07-2009
2,57.96,19-07-2009
3,109.71,24-01-2010
2,52.02,24-01-2010
3,115.98,19-07-2009
2,55.59,19-07-2009
1,116.43,19-07-2009
2,54.99,19-07-2009
2,54.99,19-07-2009
3,109.58,19-07-2009
1,139.3,19-07-2009
2,55.5,19-07-2009
2,56,25-01-2010
1,177.64,25-01-2010
3,84.37,25-01-2010
2,54.91,25-01-2010
2,56,25-01-2010
2,54.6,25-01-2010
1,169.4,25-01-2010
1,169.4,25-01-2010
1,154.1,20-07-2009
3,109.58,20-07-2009
2,57.96,20-07-2009
3,109.71,25-01-2010
2,54.59,25-01-2010
2,58,19-07-2009
3,115.98,20-07-2009
2,54.99,20-07-2009
2,55.59,20-07-2009
1,116.43,20-07-2009
2,54.99,20-07-2009
3,109.58,20-07-2009
2,55.5,20-07-2009
1,139.3,20-07-2009
2,58,20-07-2009
2,52.97,26-01-2010
2,52.97,26-01-2010
2,54.6,26-01-2010
1,168.92,26-01-2010
3,84.37,26-01-2010
1,168.96,26-01-2010
2,54.91,26-01-2010
3,109.58,21-07-2009
2,57.96,21-07-2009
2,55.5,21-07-2009
3,109.58,21-07-2009
3,115.98,21-07-2009
2,55.59,21-07-2009
1,116.43,21-07-2009
2,55.5,21-07-2009
2,58,21-07-2009
2,55.5,21-07-2009
3,109.71,26-01-2010
2,52.96,26-01-2010
1,167.5,27-01-2010
3,84.37,27-01-2010
2,54.91,27-01-2010
2,54.99,27-01-2010
1,149.95,27-01-2010
2,50.73,27-01-2010
2,54.6,27-01-2010
1,149.96,27-01-2010
1,165.15,27-01-2010
1,139.3,21-07-2009
3,109.58,22-07-2009
3,109.71,27-01-2010
2,49.99,27-01-2010
3,115.98,22-07-2009
2,55.59,22-07-2009
2,57.96,22-07-2009
3,109.58,22-07-2009
2,55.5,22-07-2009
2,55.5,22-07-2009
1,139.3,22-07-2009
1,167.5,28-01-2010
2,54.91,28-01-2010
2,54.94,28-01-2010
2,50.7,28-01-2010
2,54.6,28-01-2010
1,162.46,28-01-2010
1,165.15,28-01-2010
2,56,28-01-2010
1,148.29,28-01-2010
3,109.71,28-01-2010
2,49.95,28-01-2010
2,58,22-07-2009
2,54.6,29-01-2010
3,115.98,24-07-2009
3,109.58,24-07-2009
2,57.96,24-07-2009
1,148.32,28-01-2010
1,167.5,29-01-2010
3,84.37,29-01-2010
2,55.59,24-07-2009
2,54.77,29-01-2010
1,148.28,29-01-2010
2,55.5,24-07-2009
1,165.15,29-01-2010
2,54.91,29-01-2010
3,109.58,24-07-2009
2,49.85,29-01-2010
3,109.71,29-01-2010
2,58,24-07-2009
1,139.3,24-07-2009
